name,company,street,postcode,city,country,capacity,energy_source,technology,chp,commissioned,type,lat,lon,eic_code,energy_source_level_1,energy_source_level_2,energy_source_level_3,additional_info,comment,source
"Igiser Mülbach 2 (Landquart 2)",,,,Landquart-Fabriken,CH,0.71,Hydro,Run-of-river,,1988,,46.9548019948,9.5668303331,,"Renewable energy",Hydro,,,,https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
Mapragg,,,,Vadura,CH,279.9,Hydro,"Pumped storage",,1977,,46.9484407976,9.4812988795,12W-0000000917-6,"Renewable energy",Hydro,,,"#NAME?; #NAME?; ",https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
Sarelli,,,,"Bad Ragaz",CH,90,Hydro,Reservoir,,1978,,46.9770980292,9.53865885488,12W-0000000917-6,"Renewable energy",Hydro,,,"#NAME?; ",https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
Ragaz,,,,Ragaz,CH,0.7,Hydro,Run-of-river,,1956,,47.0000948296,9.50115288825,,"Renewable energy",Hydro,,,"#NAME?;                                              ; ",https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
Jenins,,,,Jenins,CH,0.46,Hydro,Run-of-river,,1997,,46.9931780282,9.55480652195,,"Renewable energy",Hydro,,,,https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
Valeis,,,,Vilters,CH,1.2,Hydro,Run-of-river,,2004,,47.0232622307,9.44809505335,,"Renewable energy",Hydro,,,,https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
Grossbach,,,,"Wangs, Gaschiels",CH,0.7,Hydro,Run-of-river,,1993,,47.0258051067,9.44161096561,,"Renewable energy",Hydro,,,"#NAME?; ",https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
Sevelen,,,,Sevelen,CH,1.14,Hydro,Run-of-river,,1989,,47.1209036183,9.48300188061,,"Renewable energy",Hydro,,,,https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
Buchs-Vorderberg,,,,"Buchs, Waldrand",CH,0.98,Hydro,Run-of-river,,1987,,47.1490022349,9.44582705102,,"Renewable energy",Hydro,,,"#NAME?; ",https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
Buchs-Tobeläckerli,,,,"Buchs, Steig - Aspenhölzli",CH,0.69,Hydro,Run-of-river,,2013,,47.1562316902,9.46456548914,,"Renewable energy",Hydro,,,"#NAME?; ",https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
Buchs-Altendorf,,,,"Buchs, Altendorf",CH,3.56,Hydro,Run-of-river,,1987,,47.1569967916,9.46710077053,,"Renewable energy",Hydro,,,,https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
"Grabs (Bannwald)",,,,"Grabs, Bannwald",CH,0.44,Hydro,Run-of-river,,1994,,47.17262767,9.41689346785,,"Renewable energy",Hydro,,,,https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
"Grabs (Löchli)",,,,"Grabs, Löchli",CH,1.43,Hydro,Run-of-river,,1996,,47.1757270944,9.43020364886,,"Renewable energy",Hydro,,,,https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
Sennwald,,,,Sennwald,CH,1.22,Hydro,Run-of-river,,1990,,47.2615761557,9.49605409189,,"Renewable energy",Hydro,,,,https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
Lienz,,,,Lienz,CH,0.38,Hydro,Run-of-river,,1989,,47.2751747537,9.525398933,,"Renewable energy",Hydro,,,,https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
"Blatten (SAK)",,,,"Oberriet, Blatten",CH,0.38,Hydro,Run-of-river,,1989,,47.307700421,9.56728348718,,"Renewable energy",Hydro,,,,https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
